id_estudiante,nombre,apellido,edad,ciudad,correo,telefono,promedio,estado_solicitud,fecha_registro,programa,modalidad,creditos_aprobados,beca,ingresos
56,Ana,Rodriguez,43.0,Bogota,,3001234567,3.67,Aprobado,2025-02-15,Ingenieria,Virtual,,Si,8225725.0
57,Jorge,Castro,38.0,Bogota,,,3.67,Pendiente,2025-03-20,Matematicas,Presencial,,No,
58,Juan,Torres,38.0,Bogota,,,3.67,Rechazado,2025-04-01,Matematicas,Hibrida,,No,2789344.0
59,Valentina,Hernandez,38.0,Medellin,,,3.67,Aprobado,2025-03-20,Fisica,Virtual,,No,
60,Ana,Martinez,38.0,Bogota,ana.martinez@mail.com,,3.67,En Proceso,2025-03-20,Ingenieria,Presencial,,Si,
61,Andres,Lopez,38.0,Cali,,,3.67,En Proceso,2025-02-15,Doctorado,Hibrida,102.0,Si,8857296.0
62,Ana,Castro,38.0,Bogota,,,4.37,Aprobado,2025-02-15,Matematicas,Hibrida,,Si,7232293.0
63,Camila,Gomez,38.0,Cali,camila.gomez@mail.com,,4.75,Rechazado,2025-04-01,Fisica,Virtual,17.0,Si,
64,Maria,Rodriguez,38.0,Bogota,,,3.67,Pendiente,2025-03-20,Matematicas,Virtual,,No,5693260.0
65,Ana,Torres,38.0,Cali,,,3.67,Rechazado,2025-02-15,Ingenieria,Virtual,24.0,Si,8628891.0
66,Valentina,Gomez,38.0,Medellin,,3001234567,3.67,Pendiente,2025-02-15,Fisica,Presencial,,No,
67,Carlos,Garcia,27.0,Bogota,,,3.67,Rechazado,2025-01-15,Ingenieria,Presencial,,Si,
68,Maria,Torres,38.0,Bogota,maria.torres@mail.com,,3.36,Rechazado,2025-01-15,Matematicas,Virtual,,Si,
69,Camila,Torres,20.0,Cali,,,3.82,Rechazado,2025-01-15,Matematicas,Presencial,,Si,
70,Jorge,Martinez,38.0,Medellin,,,3.67,Aprobado,2025-04-01,Ingenieria,Virtual,,Si,7279729.0
71,Maria,Rodriguez,21.0,Barranquilla,,6011234567,3.67,Aprobado,2025-04-01,Fisica,Presencial,85.0,Si,
72,Juan,Garcia,38.0,Cali,,6011234567,3.67,En Proceso,,Ingenieria,Virtual,,Si,
73,Ana,Castro,38.0,Bogota,,3001234567,3.67,Pendiente,,Ingenieria,Hibrida,44.0,Si,4043480.0
74,Andres,Rodriguez,25.0,Bogota,,,4.24,En Proceso,2025-02-15,Ingenieria,Presencial,,Si,2425342.0
75,Carlos,Gomez,59.0,Medellin,,,3.67,En Proceso,2025-01-15,Matematicas,Hibrida,96.0,No,
76,Pedro,Torres,38.0,Bogota,pedro.torres@mail.com,3001234567,3.67,Pendiente,2025-01-15,Ingenieria,Presencial,,No,
77,Juan,Torres,38.0,Bogota,,,3.67,Rechazado,2025-03-20,Ingenieria,Virtual,55.0,Si,8713396.0
78,Valentina,Castro,38.0,Barranquilla,valentina.castro@mail.com,,3.67,Pendiente,2025-01-15,Doctorado,Presencial,,No,
79,Ana,Castro,38.0,Bogota,,6011234567,3.67,Rechazado,2025-02-15,Doctorado,Presencial,65.0,Si,
80,Luisa,Hernandez,38.0,Medellin,,6011234567,3.67,Pendiente,,Doctorado,Virtual,,No,
81,Camila,Hernandez,38.0,Bogota,,,3.67,Rechazado,2025-04-01,Fisica,Virtual,64.0,Si,
82,Juan,Gomez,38.0,Bogota,,,3.93,Aprobado,2025-01-15,Matematicas,Presencial,,No,9411547.0
83,Camila,Rodriguez,37.0,Bogota,,,3.67,Pendiente,,Ingenieria,Hibrida,,Si,
84,Juan,Hernandez,38.0,Bogota,,,3.67,Pendiente,2025-04-01,Ingenieria,Virtual,,No,
85,Carlos,Rodriguez,38.0,Barranquilla,,,3.67,Aprobado,2025-02-15,Fisica,Virtual,,Si,6181912.0
86,Luisa,Torres,38.0,Bogota,luisa.torres@mail.com,,3.67,Aprobado,2025-02-15,Fisica,Hibrida,,No,3587931.0
87,Valentina,Lopez,44.0,Barranquilla,,,3.67,Rechazado,2025-02-15,Doctorado,Virtual,,No,
88,Luisa,Torres,38.0,Barranquilla,,6011234567,3.67,Pendiente,2025-01-15,Doctorado,Hibrida,,Si,
89,Jorge,Rodriguez,34.0,Bogota,,,3.67,Aprobado,2025-04-01,Ingenieria,Virtual,119.0,Si,7960815.0
90,Jorge,Hernandez,38.0,Bogota,,3001234567,3.12,Rechazado,2025-02-15,Doctorado,Presencial,,No,
91,Camila,Torres,55.0,Bogota,,,2.06,En Proceso,2025-04-01,Ingenieria,Hibrida,38.0,No,1801102.0
92,Valentina,Torres,20.0,Bucaramanga,,6011234567,3.79,Rechazado,2025-01-15,Matematicas,Virtual,,Si,
93,Jorge,Hernandez,38.0,Bogota,jorge.hernandez@mail.com,,3.67,Rechazado,2025-01-15,Ingenieria,Virtual,100.0,Si,6784825.0
94,Valentina,Hernandez,24.0,Cali,,,3.67,En Proceso,2025-02-15,Fisica,Presencial,,No,
95,Juan,Martinez,38.0,Medellin,,,3.67,Aprobado,2025-01-15,Doctorado,Presencial,45.0,Si,
96,Luisa,Castro,38.0,Barranquilla,,,3.02,Rechazado,2025-04-01,Doctorado,Presencial,102.0,Si,8121922.0
97,Valentina,Lopez,38.0,Cali,,,3.67,En Proceso,2025-01-15,Fisica,Virtual,,No,
98,Luisa,Castro,33.0,Bogota,,,3.67,Pendiente,2025-03-20,Ingenieria,Presencial,,No,2127988.0
99,Luisa,Castro,52.0,Bogota,,,3.67,Aprobado,2025-01-15,Fisica,Presencial,,Si,5675638.0
100,Juan,Lopez,38.0,Barranquilla,,,4.74,En Proceso,2025-02-15,Ingenieria,Presencial,,Si,4358435.0
101,Maria,Torres,38.0,Bogota,,3001234567,3.67,Rechazado,2025-01-15,Ingenieria,Presencial,,No,9535505.0
102,Ana,Lopez,38.0,Bogota,,,3.67,Pendiente,2025-04-01,Fisica,Virtual,,Si,
103,Andres,Rodriguez,38.0,Bogota,,6011234567,3.67,Pendiente,2025-02-15,Doctorado,Presencial,64.0,No,
104,Pedro,Lopez,38.0,Medellin,,3001234567,3.67,Rechazado,,Ingenieria,Presencial,,Si,9950276.0
105,Carlos,Lopez,38.0,Cali,carlos.lopez@mail.com,3001234567,3.67,Aprobado,2025-01-15,Ingenieria,Presencial,,Si,
106,Camila,Garcia,38.0,Bucaramanga,,,3.67,En Proceso,2025-02-15,Ingenieria,Virtual,,No,
107,Luisa,Lopez,38.0,Cali,,,4.93,Aprobado,2025-02-15,Ingenieria,Presencial,,No,8542969.0
108,Maria,Gomez,38.0,Barranquilla,,,2.74,Rechazado,2025-04-01,Ingenieria,Presencial,,No,
109,Juan,Rodriguez,38.0,Bucaramanga,,3001234567,4.9,Aprobado,2025-02-15,Ingenieria,Virtual,36.0,No,
110,Pedro,Hernandez,38.0,Bogota,,,3.67,Rechazado,2025-01-15,Ingenieria,Virtual,,No,2993318.0
111,Andres,Hernandez,38.0,Cali,,,4.26,Aprobado,2025-04-01,Ingenieria,Virtual,,No,
112,Carlos,Lopez,38.0,Cali,,,3.67,Rechazado,2025-03-20,Fisica,Presencial,,No,8967375.0
113,Luisa,Rodriguez,38.0,Medellin,luisa.rodriguez@mail.com,,3.67,En Proceso,,Ingenieria,Presencial,92.0,No,9060593.0
114,Valentina,Castro,38.0,Bogota,valentina.castro@mail.com,6011234567,3.67,Aprobado,,Matematicas,Hibrida,,No,
115,Valentina,Torres,38.0,Medellin,,,3.67,En Proceso,2025-03-20,Ingenieria,Presencial,,No,
116,Valentina,Torres,38.0,Medellin,,,3.67,Pendiente,2025-01-15,Fisica,Virtual,,Si,
117,Valentina,Castro,38.0,Bogota,valentina.castro@mail.com,,3.67,En Proceso,2025-03-20,Fisica,Hibrida,,No,
118,Carlos,Rodriguez,38.0,Medellin,,6011234567,3.67,Aprobado,2025-02-15,Ingenieria,Virtual,,Si,
119,Juan,Lopez,38.0,Bucaramanga,,,3.67,Aprobado,2025-02-15,Doctorado,Virtual,68.0,No,
120,Juan,Castro,38.0,Medellin,,,4.63,Aprobado,2025-04-01,Ingenieria,Hibrida,,No,
121,Pedro,Martinez,38.0,Bogota,,6011234567,3.67,Aprobado,2025-04-01,Fisica,Hibrida,,Si,
122,Andres,Hernandez,38.0,Bogota,,,2.55,Pendiente,2025-03-20,Ingenieria,Hibrida,,No,
123,Valentina,Gomez,38.0,Medellin,,,2.19,Pendiente,,Matematicas,Presencial,88.0,Si,
124,Ana,Martinez,38.0,Bogota,,,3.67,En Proceso,2025-04-01,Doctorado,Presencial,,No,
125,Jorge,Hernandez,38.0,Bogota,,,3.67,Pendiente,,Ingenieria,Hibrida,,No,9201172.0
126,Camila,Gomez,38.0,Barranquilla,,,3.37,Aprobado,2025-04-01,Matematicas,Hibrida,,Si,2225232.0
127,Luisa,Rodriguez,50.0,Bogota,luisa.rodriguez@mail.com,,3.67,En Proceso,2025-04-01,Ingenieria,Presencial,,No,
128,Maria,Lopez,38.0,Bogota,,,3.67,Pendiente,,Fisica,Presencial,96.0,Si,
129,Andres,Castro,38.0,Bucaramanga,,3001234567,3.67,Aprobado,,Doctorado,Virtual,,Si,2128954.0
130,Juan,Torres,54.0,Medellin,,6011234567,3.67,Pendiente,,Doctorado,Virtual,,No,
131,Luisa,Hernandez,38.0,Bogota,,,3.67,Rechazado,2025-03-20,Ingenieria,Virtual,,No,9315137.0
132,Andres,Hernandez,38.0,Barranquilla,,,3.67,En Proceso,,Ingenieria,Presencial,,Si,8768273.0
133,Andres,Castro,38.0,Bogota,,,3.67,Aprobado,2025-04-01,Matematicas,Hibrida,,Si,
134,Valentina,Gomez,38.0,Medellin,,3001234567,3.67,Pendiente,2025-02-15,Ingenieria,Virtual,,No,
135,Jorge,Hernandez,38.0,Bucaramanga,,,3.67,Rechazado,2025-03-20,Fisica,Virtual,,No,6372622.0
136,Luisa,Castro,38.0,Medellin,,,4.22,En Proceso,2025-02-15,Ingenieria,Presencial,,No,
137,Camila,Hernandez,38.0,Bucaramanga,,6011234567,3.67,Pendiente,2025-01-15,Fisica,Presencial,23.0,No,9790328.0
138,Juan,Gomez,38.0,Medellin,juan.gomez@mail.com,6011234567,2.2,En Proceso,,Ingenieria,Virtual,,No,1263935.0
139,Jorge,Castro,16.0,Medellin,jorge.castro@mail.com,,3.67,En Proceso,2025-02-15,Doctorado,Presencial,117.0,Si,9797727.0
140,Ana,Garcia,38.0,Barranquilla,,,3.67,Pendiente,2025-04-01,Fisica,Presencial,87.0,Si,1531577.0
141,Andres,Castro,38.0,Bogota,,3001234567,3.67,En Proceso,2025-02-15,Doctorado,Virtual,72.0,Si,9861040.0
142,Ana,Torres,33.0,Bogota,ana.torres@mail.com,6011234567,3.67,Rechazado,2025-02-15,Ingenieria,Presencial,,No,
143,Valentina,Martinez,38.0,Cali,,3001234567,3.67,Rechazado,,Ingenieria,Virtual,29.0,No,
144,Valentina,Castro,36.0,Medellin,,6011234567,3.67,Rechazado,2025-03-20,Fisica,Virtual,,No,
145,Ana,Rodriguez,38.0,Bogota,,,3.67,Rechazado,2025-03-20,Ingenieria,Virtual,,Si,
146,Maria,Lopez,38.0,Barranquilla,,3001234567,3.67,Aprobado,2025-03-20,Ingenieria,Hibrida,,Si,7463219.0
147,Andres,Castro,38.0,Medellin,,6011234567,3.72,Pendiente,2025-04-01,Ingenieria,Hibrida,,Si,2061446.0
148,Pedro,Castro,38.0,Bogota,,,3.08,Pendiente,,Matematicas,Virtual,38.0,No,
149,Andres,Hernandez,38.0,Barranquilla,,,3.67,Rechazado,2025-03-20,Fisica,Presencial,,No,
150,Camila,Martinez,38.0,Medellin,,3001234567,3.67,Pendiente,2025-02-15,Fisica,Presencial,87.0,No,
151,Camila,Garcia,60.0,Barranquilla,,6011234567,4.02,Rechazado,,Fisica,Presencial,,No,
152,Camila,Castro,38.0,Barranquilla,camila.castro@mail.com,3001234567,3.67,Pendiente,2025-04-01,Fisica,Hibrida,82.0,No,
153,Maria,Gomez,38.0,Medellin,,,3.67,Rechazado,2025-03-20,Matematicas,Virtual,44.0,No,9099554.0
154,Andres,Rodriguez,38.0,Cali,,,3.67,En Proceso,2025-03-20,Ingenieria,Virtual,,Si,6350413.0
155,Juan,Rodriguez,38.0,Bogota,,,4.03,Pendiente,2025-04-01,Fisica,Presencial,,Si,8751982.0
156,Carlos,Lopez,38.0,Barranquilla,,,3.67,En Proceso,2025-01-15,Matematicas,Virtual,,No,
157,Jorge,Lopez,38.0,Medellin,,,3.67,Rechazado,2025-04-01,Fisica,Virtual,75.0,No,
158,Valentina,Lopez,38.0,Bogota,valentina.lopez@mail.com,6011234567,3.67,Rechazado,2025-04-01,Ingenieria,Presencial,,Si,
159,Valentina,Lopez,38.0,Barranquilla,,,3.67,Pendiente,2025-01-15,Matematicas,Hibrida,,No,
160,Luisa,Gomez,38.0,Medellin,,,3.67,En Proceso,2025-03-20,Matematicas,Virtual,21.0,No,1517756.0
161,Juan,Garcia,38.0,Medellin,,,3.67,Aprobado,2025-04-01,Fisica,Virtual,,Si,
162,Jorge,Martinez,43.0,Medellin,,,2.89,Rechazado,,Doctorado,Virtual,110.0,No,4975295.0
163,Luisa,Castro,38.0,Bogota,luisa.castro@mail.com,,4.35,Rechazado,2025-03-20,Fisica,Hibrida,,No,
164,Jorge,Rodriguez,38.0,Bogota,,6011234567,3.67,Pendiente,,Ingenieria,Hibrida,,No,9211754.0
165,Pedro,Castro,38.0,Bogota,,,3.9,Rechazado,2025-01-15,Fisica,Hibrida,,No,
166,Camila,Hernandez,38.0,Barranquilla,,,3.67,Rechazado,2025-01-15,Ingenieria,Hibrida,,Si,
167,Juan,Rodriguez,38.0,Bogota,,,2.37,Aprobado,2025-01-15,Matematicas,Presencial,,No,
168,Luisa,Garcia,38.0,Bogota,,6011234567,3.67,En Proceso,2025-02-15,Fisica,Virtual,,Si,8999489.0
169,Valentina,Martinez,38.0,Bogota,valentina.martinez@mail.com,,3.67,Pendiente,2025-03-20,Matematicas,Virtual,49.0,No,2718442.0
170,Luisa,Garcia,38.0,Bogota,,3001234567,3.67,Aprobado,,Fisica,Presencial,,No,
171,Camila,Martinez,21.0,Bogota,,,3.67,En Proceso,,Ingenieria,Presencial,35.0,No,
172,Valentina,Garcia,60.0,Medellin,,,3.67,Rechazado,2025-04-01,Fisica,Virtual,,No,2891524.0
173,Valentina,Rodriguez,49.0,Cali,,,4.8,En Proceso,,Ingenieria,Presencial,,No,2224599.0
174,Maria,Gomez,38.0,Bogota,,,3.67,En Proceso,2025-03-20,Matematicas,Virtual,,Si,5655136.0
175,Maria,Martinez,38.0,Cali,maria.martinez@mail.com,,3.67,En Proceso,2025-04-01,Fisica,Presencial,31.0,Si,8289425.0
176,Valentina,Gomez,38.0,Bogota,valentina.gomez@mail.com,6011234567,2.04,En Proceso,2025-03-20,Ingenieria,Presencial,,Si,
177,Maria,Gomez,38.0,Medellin,maria.gomez@mail.com,,3.67,En Proceso,2025-03-20,Fisica,Hibrida,,Si,7168777.0
178,Maria,Rodriguez,38.0,Bogota,,3001234567,2.13,En Proceso,2025-03-20,Ingenieria,Virtual,22.0,No,8035849.0
179,Ana,Castro,38.0,Bogota,ana.castro@mail.com,6011234567,3.71,Pendiente,2025-03-20,Doctorado,Presencial,51.0,Si,
180,Luisa,Rodriguez,38.0,Bogota,,,3.67,Pendiente,2025-01-15,Matematicas,Hibrida,,No,5112546.0
181,Andres,Gomez,38.0,Cali,andres.gomez@mail.com,,3.67,Aprobado,2025-04-01,Doctorado,Virtual,,Si,9888812.0
182,Camila,Gomez,38.0,Bogota,,,2.13,En Proceso,,Fisica,Virtual,,Si,7616116.0
183,Valentina,Gomez,38.0,Medellin,,,3.67,Rechazado,2025-01-15,Matematicas,Hibrida,,No,
184,Carlos,Rodriguez,38.0,Bucaramanga,,6011234567,2.94,En Proceso,2025-03-20,Ingenieria,Virtual,109.0,Si,2517010.0
185,Valentina,Gomez,38.0,Bogota,,,2.27,Aprobado,2025-04-01,Fisica,Hibrida,,Si,
186,Jorge,Martinez,38.0,Bogota,jorge.martinez@mail.com,3001234567,4.41,Aprobado,2025-01-15,Doctorado,Presencial,,No,
187,Valentina,Garcia,20.0,Bogota,,6011234567,3.67,Aprobado,,Doctorado,Hibrida,,Si,1849559.0
188,Andres,Castro,47.0,Barranquilla,,6011234567,4.05,Pendiente,,Ingenieria,Hibrida,,No,
189,Valentina,Martinez,38.0,Bucaramanga,,3001234567,3.67,Aprobado,,Ingenieria,Virtual,,No,9821696.0
190,Juan,Castro,38.0,Bucaramanga,,,3.67,Rechazado,2025-01-15,Ingenieria,Virtual,,Si,
191,Camila,Hernandez,38.0,Bogota,,,3.67,Aprobado,,Doctorado,Presencial,,No,3954473.0
192,Luisa,Hernandez,53.0,Cali,,,3.67,Pendiente,2025-01-15,Doctorado,Virtual,,Si,1636925.0
193,Ana,Martinez,38.0,Bucaramanga,,6011234567,3.67,Rechazado,2025-02-15,Fisica,Presencial,7.0,Si,
194,Maria,Hernandez,38.0,Barranquilla,,,3.67,Pendiente,,Ingenieria,Virtual,,No,
195,Valentina,Hernandez,38.0,Bogota,,6011234567,3.67,Pendiente,2025-03-20,Fisica,Virtual,108.0,No,
196,Valentina,Martinez,38.0,Bogota,,3001234567,4.81,Pendiente,2025-01-15,Ingenieria,Hibrida,81.0,No,
197,Pedro,Martinez,31.0,Cali,pedro.martinez@mail.com,3001234567,2.77,En Proceso,2025-03-20,Matematicas,Virtual,,No,
198,Jorge,Castro,38.0,Medellin,jorge.castro@mail.com,,2.49,Aprobado,2025-02-15,Ingenieria,Hibrida,,Si,
199,Maria,Rodriguez,38.0,Bucaramanga,,,3.67,En Proceso,,Ingenieria,Virtual,,Si,
200,Jorge,Garcia,38.0,Medellin,,,2.71,En Proceso,,Ingenieria,Virtual,,Si,
201,Camila,Martinez,22.0,Medellin,camila.martinez@mail.com,,3.67,Aprobado,,Ingenieria,Virtual,,No,
202,Andres,Lopez,38.0,Cali,,,2.56,En Proceso,2025-01-15,Ingenieria,Presencial,72.0,Si,
203,Maria,Hernandez,38.0,Medellin,,,3.67,En Proceso,2025-01-15,Fisica,Presencial,38.0,No,
204,Jorge,Lopez,38.0,Bogota,,6011234567,4.85,Pendiente,2025-02-15,Ingenieria,Virtual,,Si,
205,Valentina,Garcia,36.0,Bogota,,,3.67,En Proceso,,Doctorado,Virtual,,No,3510581.0
206,Valentina,Rodriguez,38.0,Bogota,,,3.67,Rechazado,2025-02-15,Matematicas,Virtual,,No,
207,Valentina,Castro,38.0,Cali,,,4.07,Rechazado,2025-01-15,Ingenieria,Hibrida,,Si,
208,Ana,Lopez,38.0,Cali,ana.lopez@mail.com,6011234567,3.67,En Proceso,2025-02-15,Ingenieria,Virtual,,No,
209,Maria,Garcia,38.0,Bogota,maria.garcia@mail.com,6011234567,3.67,Pendiente,2025-03-20,Doctorado,Presencial,31.0,Si,8657937.0
210,Ana,Garcia,38.0,Barranquilla,ana.garcia@mail.com,6011234567,3.91,Rechazado,2025-02-15,Matematicas,Presencial,,No,
211,Pedro,Rodriguez,34.0,Barranquilla,,6011234567,3.67,Pendiente,2025-01-15,Fisica,Presencial,,Si,9611430.0
212,Camila,Lopez,38.0,Bogota,,,3.67,En Proceso,,Matematicas,Hibrida,,No,
213,Valentina,Castro,53.0,Bogota,,,3.67,Rechazado,2025-03-20,Ingenieria,Virtual,,No,
214,Pedro,Garcia,38.0,Medellin,pedro.garcia@mail.com,,2.45,En Proceso,2025-03-20,Fisica,Hibrida,92.0,No,
215,Andres,Castro,40.0,Medellin,,,3.67,En Proceso,2025-01-15,Fisica,Hibrida,,Si,
216,Camila,Lopez,38.0,Bogota,camila.lopez@mail.com,6011234567,3.67,Rechazado,,Ingenieria,Hibrida,,No,
217,Pedro,Torres,38.0,Bogota,pedro.torres@mail.com,,3.67,Pendiente,2025-02-15,Fisica,Virtual,,No,7930789.0
218,Carlos,Martinez,38.0,Bucaramanga,,3001234567,3.67,En Proceso,2025-03-20,Ingenieria,Presencial,81.0,Si,
219,Ana,Lopez,38.0,Bucaramanga,,,4.36,En Proceso,2025-01-15,Fisica,Virtual,,No,7430982.0
220,Jorge,Martinez,39.0,Cali,,3001234567,3.67,Aprobado,2025-01-15,Fisica,Presencial,,No,6236039.0
221,Andres,Garcia,26.0,Bogota,,,3.67,Rechazado,2025-02-15,Matematicas,Presencial,,Si,7027229.0
222,Andres,Gomez,38.0,Bogota,,3001234567,2.63,Rechazado,2025-01-15,Fisica,Virtual,,No,
223,Valentina,Gomez,58.0,Bogota,,,2.14,En Proceso,2025-01-15,Ingenieria,Presencial,,Si,
224,Pedro,Castro,58.0,Medellin,,,3.67,Aprobado,2025-02-15,Fisica,Presencial,36.0,Si,
